Model,Stars,Num_of_Ratings,Reviews,Ram,Storage,Expandable,Display,Camera,Battery,Processor,Warranty,Price
"APPLE iPhone 15 (Black, 128 GB)",4.6,"2,659 Ratings",207 Reviews,128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹73,999"
"APPLE iPhone 14 (Midnight, 128 GB)",4.6,"2,60,675 Ratings","10,166 Reviews",128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹59,999"
"APPLE iPhone 14 (Starlight, 128 GB)",4.6,"2,60,675 Ratings","10,166 Reviews",128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹59,999"
"APPLE iPhone 14 (Blue, 128 GB)",4.6,"2,60,675 Ratings","10,166 Reviews",128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹59,999"
"APPLE iPhone 15 (Blue, 128 GB)",4.6,"2,659 Ratings",207 Reviews,128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹73,999"
"APPLE iPhone 15 (Green, 128 GB)",4.6,"2,659 Ratings",207 Reviews,128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹73,999"
"APPLE iPhone 15 (Pink, 128 GB)",4.6,"2,659 Ratings",207 Reviews,128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹73,999"
"APPLE iPhone 14 Plus (Blue, 128 GB)",4.6,"58,235 Ratings","3,417 Reviews",128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999"
"APPLE iPhone 15 Plus (Blue, 128 GB)",4.7,"1,189 Ratings",133 Reviews,128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹82,999"
"APPLE iPhone 14 (Purple, 128 GB)",4.6,"2,60,675 Ratings","10,166 Reviews",128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹59,999"
"APPLE iPhone 12 (Blue, 64 GB)",4.6,"2,06,817 Ratings","13,726 Reviews",64 GB RO,64 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Brand Warranty for 1 Year,"₹42,999"
"APPLE iPhone 14 Plus (Starlight, 128 GB)",4.6,"58,235 Ratings","3,417 Reviews",128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999"
"APPLE iPhone 15 Plus (Black, 128 GB)",4.7,"1,189 Ratings",133 Reviews,128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹82,999"
"APPLE iPhone 14 Plus (Midnight, 128 GB)",4.6,"58,235 Ratings","3,417 Reviews",128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)",4.6,"58,235 Ratings","3,417 Reviews",128 GB RO,128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999"
"APPLE iPhone 12 (White, 64 GB)",4.6,"2,06,817 Ratings","13,726 Reviews",64 GB RO,64 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Brand Warranty for 1 Year,"₹42,999"
"APPLE iPhone 14 (Yellow, 128 GB)",4.6,"2,60,675 Ratings","10,166 Reviews",128 GB RO,128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹59,999"
